Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3300;2018;L3300;;;;;;;;;;8,2;9,7;11,3;13,5;16,7;10,7;403;482;595;753;935;646;60;11390;89358;Estimation directe
B3300;2018;L3300;;;;;;;;;Maison 1-3P;6,6;9,0;10,8;12,4;14,4;10,2;480;586;700;818;879;696;68;509;4211;Estimation directe
B3300;2018;L3300;;;;;;;;;Ensemble 4P+;6,7;8,1;9,3;10,5;11,7;9,2;642;750;888;1050;1286;932;102;1692;14347;Estimation directe
B3300;2018;L3300;;;;;;;;;Maison 4P+;6,5;8,1;9,3;10,5;11,7;9,1;695;800;931;1100;1300;972;107;819;5851;Estimation directe
B3300;2018;L3300;;;;;;;;;Appart 1P;11,8;13,4;15,6;18,6;20,6;15,4;352;385;418;460;513;425;28;1127;22802;Estimation directe
B3300;2018;L3300;;;;;;;;;Appart 2P;9,6;10,9;12,0;13,4;15,3;11,9;445;490;533;581;640;537;45;4676;29532;Estimation directe
B3300;2018;L3300;;;;;;;;;Appart 3P;8,3;9,6;10,5;11,4;12,6;10,3;550;626;683;755;850;695;67;3386;18467;Estimation directe
B3300;2018;L3300;;;;;;;;;Appart 4P+;7,0;8,1;9,2;10,5;11,6;9,3;600;685;815;965;1214;875;94;873;8495;Estimation directe
B3300;2018;L3300;;;;;;;;;Ensemble 1P;11,8;13,4;15,6;18,6;20,6;15,4;352;385;418;460;515;425;28;1138;23037;Estimation directe
B3300;2018;L3300;;;;;;;;;Ensemble 2P;9,5;10,8;11,9;13,4;15,3;11,8;442;490;531;582;645;536;45;4761;30817;Estimation directe
B3300;2018;L3300;;;;;;;;;Ensemble 3P;7,8;9,4;10,5;11,6;13,1;10,3;550;630;696;782;870;706;69;3799;21157;Estimation directe
B3300;2018;L3300;;;;;;;;Maison 1-3P;;6,6;9,0;10,8;12,4;14,4;10,2;480;586;700;818;879;696;68;509;4211;Estimation directe
B3300;2018;L3300;;;;;;;;Ensemble 4P+;;6,7;8,1;9,3;10,5;11,7;9,2;642;750;888;1050;1286;932;102;1692;14347;Estimation directe
B3300;2018;L3300;;;;;;;;Maison 4P+;;6,5;8,1;9,3;10,5;11,7;9,1;695;800;931;1100;1300;972;107;819;5851;Estimation directe
B3300;2018;L3300;;;;;;;;Appart 1P;;11,8;13,4;15,6;18,6;20,6;15,4;352;385;418;460;513;425;28;1127;22802;Estimation directe
B3300;2018;L3300;;;;;;;;Appart 2P;;9,6;10,9;12,0;13,4;15,3;11,9;445;490;533;581;640;537;45;4676;29532;Estimation directe
B3300;2018;L3300;;;;;;;;Appart 3P;;8,3;9,6;10,5;11,4;12,6;10,3;550;626;683;755;850;695;67;3386;18467;Estimation directe
B3300;2018;L3300;;;;;;;;Appart 4P+;;7,0;8,1;9,2;10,5;11,6;9,3;600;685;815;965;1214;875;94;873;8495;Estimation directe
B3300;2018;L3300;;;;;;;;Ensemble 1P;;11,8;13,4;15,6;18,6;20,6;15,4;352;385;418;460;515;425;28;1138;23037;Estimation directe
B3300;2018;L3300;;;;;;;;Ensemble 2P;;9,5;10,8;11,9;13,4;15,3;11,8;442;490;531;582;645;536;45;4761;30817;Estimation directe
B3300;2018;L3300;;;;;;;;Ensemble 3P;;7,8;9,4;10,5;11,6;13,1;10,3;550;630;696;782;870;706;69;3799;21157;Estimation directe
B3300;2018;L3300;;;;;;;1. Moins de 1 an;;;9,3;10,4;11,9;14,4;18,0;11,6;410;479;583;749;935;642;56;5553;;Estimation directe
B3300;2018;L3300;;;;;;;1. Moins de 1 an;;Ensemble 4P+;8,1;8,9;9,8;10,8;11,9;9,8;745;821;935;1110;1300;993;102;690;;Estimation directe
B3300;2018;L3300;;;;;;;1. Moins de 1 an;;Ensemble 1P;12,0;14,0;16,0;19,3;22,3;15,9;360;398;430;470;530;438;27;638;;Estimation directe
B3300;2018;L3300;;;;;;;1. Moins de 1 an;;Ensemble 2P;10,3;11,1;12,2;13,8;15,5;12,3;455;500;540;600;660;552;45;2361;;Estimation directe
B3300;2018;L3300;;;;;;;1. Moins de 1 an;;Ensemble 3P;9,2;10,0;10,8;12,0;13,8;10,9;594;650;706;788;880;725;66;1864;;Estimation directe
