INSEE;LIBCOM;IRIS;ZONE;LIB_ZONE
33063;Bordeaux;330630309;01;Zone 1
33063;Bordeaux;330630402;01;Zone 1
33063;Bordeaux;330630503;01;Zone 1
33063;Bordeaux;330630504;01;Zone 1
33063;Bordeaux;330630505;01;Zone 1
33063;Bordeaux;330630506;01;Zone 1
33063;Bordeaux;330630507;01;Zone 1
33063;Bordeaux;330630508;01;Zone 1
33063;Bordeaux;330630601;01;Zone 1
33063;Bordeaux;330630602;01;Zone 1
33063;Bordeaux;330630605;01;Zone 1
33063;Bordeaux;330630606;01;Zone 1
33063;Bordeaux;330630607;01;Zone 1
33063;Bordeaux;330630608;01;Zone 1
33063;Bordeaux;330630702;01;Zone 1
33063;Bordeaux;330630703;01;Zone 1
33063;Bordeaux;330630801;01;Zone 1
33063;Bordeaux;330630806;01;Zone 1
33063;Bordeaux;330630809;01;Zone 1
33063;Bordeaux;330630901;01;Zone 1
33063;Bordeaux;330630904;01;Zone 1
33063;Bordeaux;330630905;01;Zone 1
33063;Bordeaux;330631006;01;Zone 1
33063;Bordeaux;330631201;01;Zone 1
33063;Bordeaux;330631203;01;Zone 1
33281;Mérignac;332810701;01;Zone 1
33281;Mérignac;332810901;01;Zone 1
33522;Talence;335220101;01;Zone 1
33522;Talence;335220103;01;Zone 1
33522;Talence;335220104;01;Zone 1
33522;Talence;335220106;01;Zone 1
33063;Bordeaux;330630302;02;Zone 2
33063;Bordeaux;330630308;02;Zone 2
33063;Bordeaux;330630501;02;Zone 2
33063;Bordeaux;330630502;02;Zone 2
33063;Bordeaux;330630603;02;Zone 2
33063;Bordeaux;330630609;02;Zone 2
33063;Bordeaux;330630701;02;Zone 2
33063;Bordeaux;330630705;02;Zone 2
33063;Bordeaux;330630706;02;Zone 2
33063;Bordeaux;330630803;02;Zone 2
33063;Bordeaux;330631001;02;Zone 2
33063;Bordeaux;330631002;02;Zone 2
33063;Bordeaux;330631005;02;Zone 2
33063;Bordeaux;330631102;02;Zone 2
33063;Bordeaux;330631104;02;Zone 2
33063;Bordeaux;330631108;02;Zone 2
33063;Bordeaux;330631209;02;Zone 2
33063;Bordeaux;330631302;02;Zone 2
33063;Bordeaux;330631305;02;Zone 2
33281;Mérignac;332810401;02;Zone 2
33281;Mérignac;332811101;02;Zone 2
33318;Pessac;333180105;02;Zone 2
33318;Pessac;333180110;02;Zone 2
33318;Pessac;333180111;02;Zone 2
33318;Pessac;333180112;02;Zone 2
33318;Pessac;333180115;02;Zone 2
33318;Pessac;333180124;02;Zone 2
33522;Talence;335220105;02;Zone 2
33522;Talence;335220107;02;Zone 2
33522;Talence;335220110;02;Zone 2
33063;Bordeaux;330630301;03;Zone 3
33063;Bordeaux;330630311;03;Zone 3
33063;Bordeaux;330630312;03;Zone 3
33063;Bordeaux;330630401;03;Zone 3
33063;Bordeaux;330630403;03;Zone 3
33063;Bordeaux;330630404;03;Zone 3
33063;Bordeaux;330630604;03;Zone 3
33063;Bordeaux;330630807;03;Zone 3
33063;Bordeaux;330630902;03;Zone 3
33063;Bordeaux;330631003;03;Zone 3
33063;Bordeaux;330631004;03;Zone 3
33063;Bordeaux;330631103;03;Zone 3
33063;Bordeaux;330631107;03;Zone 3
33063;Bordeaux;330631206;03;Zone 3
33192;Gradignan;;03;Zone 3
33281;Mérignac;332810101;03;Zone 3
33281;Mérignac;332810102;03;Zone 3
33281;Mérignac;332810302;03;Zone 3
33318;Pessac;333180102;03;Zone 3
33318;Pessac;333180106;03;Zone 3
33318;Pessac;333180123;03;Zone 3
33422;Saint-Jean-D'illac;;03;Zone 3
33522;Talence;335220109;03;Zone 3
33063;Bordeaux;330630303;04;Zone 4
33063;Bordeaux;330630307;04;Zone 4
33063;Bordeaux;330630704;04;Zone 4
33063;Bordeaux;330630804;04;Zone 4
33063;Bordeaux;330630805;04;Zone 4
33063;Bordeaux;330630903;04;Zone 4
33063;Bordeaux;330631105;04;Zone 4
33063;Bordeaux;330631106;04;Zone 4
33063;Bordeaux;330631205;04;Zone 4
33063;Bordeaux;330631207;04;Zone 4
33063;Bordeaux;330631304;04;Zone 4
33069;Le Bouscat;;04;Zone 4
33075;Bruges;;04;Zone 4
33200;Le Haillan;;04;Zone 4
33281;Mérignac;332810502;04;Zone 4
33281;Mérignac;332811002;04;Zone 4
33281;Mérignac;332811201;04;Zone 4
33318;Pessac;333180104;04;Zone 4
33318;Pessac;333180109;04;Zone 4
33318;Pessac;333180116;04;Zone 4
33522;Talence;335220102;04;Zone 4
33522;Talence;335220111;04;Zone 4
33039;Bègles;;05;Zone 5
33056;Blanquefort;;05;Zone 5
33063;Bordeaux;330630202;05;Zone 5
33063;Bordeaux;330630204;05;Zone 5
33063;Bordeaux;330630306;05;Zone 5
33063;Bordeaux;330630310;05;Zone 5
33063;Bordeaux;330630313;05;Zone 5
33063;Bordeaux;330630405;05;Zone 5
33063;Bordeaux;330630802;05;Zone 5
33063;Bordeaux;330631101;05;Zone 5
33063;Bordeaux;330631202;05;Zone 5
33063;Bordeaux;330631204;05;Zone 5
33063;Bordeaux;330631301;05;Zone 5
33063;Bordeaux;330631303;05;Zone 5
33065;Bouliac;;05;Zone 5
33080;Cadaujac;;05;Zone 5
33085;Camblanes-Et-Meynac;;05;Zone 5
33119;Cenon;;05;Zone 5
33162;Eysines;;05;Zone 5
33234;Latresne;;05;Zone 5
33238;Léognan;;05;Zone 5
33274;Martillac;;05;Zone 5
33281;Mérignac;332810203;05;Zone 5
33281;Mérignac;332810801;05;Zone 5
33281;Mérignac;332811003;05;Zone 5
33281;Mérignac;332811401;05;Zone 5
33281;Mérignac;332811501;05;Zone 5
33281;Mérignac;332811502;05;Zone 5
33281;Mérignac;332811503;05;Zone 5
33281;Mérignac;332811504;05;Zone 5
33312;Parempuyre;;05;Zone 5
33318;Pessac;333180103;05;Zone 5
33318;Pessac;333180107;05;Zone 5
33318;Pessac;333180108;05;Zone 5
33318;Pessac;333180119;05;Zone 5
33349;Quinsac;;05;Zone 5
33376;Saint-Aubin-De-Médoc;;05;Zone 5
33449;Saint-Médard-En-Jalles;;05;Zone 5
33519;Le Taillan-Médoc;;05;Zone 5
33522;Talence;335220108;05;Zone 5
33522;Talence;335220113;05;Zone 5
33003;Ambarès-Et-Lagrave;;06;Zone 6
33004;Ambès;;06;Zone 6
33013;Artigues-Près-Bordeaux;;06;Zone 6
33015;Arveyres;;06;Zone 6
33032;Bassens;;06;Zone 6
33033;Baurech;;06;Zone 6
33061;Bonnetan;;06;Zone 6
33063;Bordeaux;330630101;06;Zone 6
33063;Bordeaux;330630103;06;Zone 6
33063;Bordeaux;330630201;06;Zone 6
33063;Bordeaux;330630203;06;Zone 6
33063;Bordeaux;330630305;06;Zone 6
33063;Bordeaux;330630808;06;Zone 6
33063;Bordeaux;330631208;06;Zone 6
33079;Cadarsac;;06;Zone 6
33084;Cambes;;06;Zone 6
33090;Canéjan;;06;Zone 6
33096;Carbon-Blanc;;06;Zone 6
33099;Carignan-De-Bordeaux;;06;Zone 6
33118;Cénac;;06;Zone 6
33122;Cestas;;06;Zone 6
33165;Fargues-Saint-Hilaire;;06;Zone 6
33167;Floirac;;06;Zone 6
33207;Izon;;06;Zone 6
33226;Langoiran;;06;Zone 6
33241;Lestiac-Sur-Garonne;;06;Zone 6
33245;Lignan-De-Bordeaux;;06;Zone 6
33249;Lormont;;06;Zone 6
33273;Martignas-Sur-Jalle;;06;Zone 6
33281;Mérignac;332810103;06;Zone 6
33281;Mérignac;332810104;06;Zone 6
33281;Mérignac;332810201;06;Zone 6
33281;Mérignac;332810202;06;Zone 6
33281;Mérignac;332810301;06;Zone 6
33281;Mérignac;332810402;06;Zone 6
33281;Mérignac;332810501;06;Zone 6
33281;Mérignac;332810601;06;Zone 6
33281;Mérignac;332811301;06;Zone 6
33293;Montussan;;06;Zone 6
33303;Nérigean;;06;Zone 6
33311;Paillet;;06;Zone 6
33318;Pessac;333180113;06;Zone 6
33318;Pessac;333180117;06;Zone 6
