id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28925,En el centro :Cuartos privados en casa familial,124398,Laurence,Bordeaux,Centre ville (Bordeaux),44.8491,-0.5935,Entire home/apt,24,2,2,2018-07-06,0.07,1,74
185534,L'Echoppe des Bouilles,890736,Carlos,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83063,-0.59331,Private room,75,1,0,,,1,365
218103,B&B (Website hidden by Airbnb) tropical garden,1127981,Luis,Bgles,Bgles,44.81418,-0.54842,Entire home/apt,100,2,31,2019-11-10,0.32,4,248
222887,"Bordeaux Terrace - spectacular view, fast Wifi",1156398,Suzanna,Bordeaux,Bordeaux Sud,44.83635,-0.5659,Entire home/apt,175,3,38,2019-11-11,0.40,4,318
317273,"Bordeaux City Gardens - large 1 bd, park adjacent",1156398,Suzanna,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84734,-0.58034,Entire home/apt,155,3,21,2019-11-11,0.33,4,349
317658,"Key to Bordeaux - fairytale view, 2 bd + elevator",1156398,Suzanna,Bordeaux,Centre ville (Bordeaux),44.83815,-0.56989,Entire home/apt,195,3,127,2019-11-17,1.35,4,299
333031,STUDIO BORDEAUX TRIANGLE D OR ***** Climatisé,1697156,Antony,Bordeaux,Centre ville (Bordeaux),44.84267,-0.57656,Entire home/apt,79,1,262,2019-11-10,2.81,2,346
365993,Modern&comfortable 3 rooms apart,1847986,Damien,Bordeaux,Bordeaux Sud,44.81267,-0.55762,Entire home/apt,85,5,30,2019-11-10,0.33,2,339
400306,Bright and spacious apartment with a nice balcony,1998044,Faustine,Bordeaux,La Bastide,44.8439,-0.55831,Entire home/apt,60,2,23,2019-06-10,0.58,2,134
403245,Charming Apt in City Center + Patio,2011519,Antoine & Rose,Bordeaux,Bordeaux Sud,44.83385,-0.57033,Entire home/apt,59,2,320,2019-09-28,3.46,1,1
408270,B&B Bedroom N°2  / tropical garden,1127981,Luis,Bgles,Bgles,44.81412,-0.54641,Entire home/apt,85,2,130,2019-11-20,1.43,4,256
410267,B&B Apart. N°3 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81494,-0.54799,Entire home/apt,85,2,42,2019-10-20,0.46,4,251
412475,B&B Apart n°4 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81428,-0.54875,Entire home/apt,85,2,64,2019-11-10,0.71,4,245
437127,Om Sweet Home B&B  chambre double,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85636,-0.58518,Private room,45,2,284,2019-09-28,3.15,2,319
438600,Om Sweet Home B&B  chambre Single,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85575,-0.5824,Private room,30,2,192,2019-11-02,2.10,2,319
450324,"House with garden, near Bordeaux",1727412,Anne-Laure,Cenon,Plaisance-Loret-Maregue,44.86238,-0.50698,Entire home/apt,110,2,13,2016-08-23,0.15,1,0
457462,"BORDEAUX, swimming-pool, tennis !",2273643,Nadine,Talence,Talence,44.80935,-0.59991,Entire home/apt,75,2,17,2019-08-21,0.19,1,85
457640,Appartement piscine tennis Bordeaux,2274580,Christine,Talence,Talence,44.80907,-0.60034,Entire home/apt,80,2,57,2019-08-17,0.64,1,200
458580,Charm and authenticity,2280426,Romain Et Pascale,Bordeaux,Bordeaux Sud,44.83424,-0.57022,Entire home/apt,35,28,160,2019-10-03,1.75,3,253
478369,Charming house center Bordeaux,2368861,Maia And Johann,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82968,-0.59534,Entire home/apt,114,5,9,2018-08-02,0.11,1,31
