,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone
0,317273,1156398,Entire home/apt,1,155,7,29.4,4557.0,1
1,317658,1156398,Entire home/apt,2,195,18,75.6,14741.999999999998,1
2,333031,1697156,Entire home/apt,Studio,79,32,134.39999999999998,10617.599999999999,1
3,365993,1847986,Entire home/apt,2,85,9,37.8,3212.9999999999995,5
4,400306,1998044,Entire home/apt,1,60,8,33.599999999999994,2015.9999999999995,3
5,403245,2011519,Entire home/apt,1,59,27,113.39999999999999,6690.599999999999,3
6,408270,1127981,Entire home/apt,1,85,22,92.39999999999999,7853.999999999999,5
7,412475,1127981,Entire home/apt,1,85,12,50.4,4284.0,5
8,437127,2171100,Private room,1,45,18,75.6,3401.9999999999995,2
9,438600,2171100,Private room,1,30,31,130.2,3905.9999999999995,2
10,457640,2274580,Entire home/apt,2,80,14,58.8,4704.0,1
11,458580,2280426,Entire home/apt,1,35,19,79.8,2793.0,3
12,482102,2387430,Entire home/apt,3+,185,58,243.6,45066.0,4
13,500193,2468244,Entire home/apt,2,100,19,79.8,7980.0,4
14,545440,2680968,Entire home/apt,2,200,8,33.599999999999994,6719.999999999999,4
15,582745,2870240,Entire home/apt,3+,150,17,71.39999999999999,10709.999999999998,4
16,599263,2964570,Entire home/apt,2,130,18,75.6,9828.0,1
17,667763,3378979,Entire home/apt,1,99,20,84.0,8316.0,2
18,717608,1229567,Entire home/apt,3+,139,8,33.599999999999994,4670.4,1
19,724856,3746923,Private room,1,45,19,79.8,3591.0,3
20,740537,3875106,Private room,1,85,27,113.39999999999999,9639.0,5
21,779477,4085017,Entire home/apt,3+,65,49,205.79999999999998,13376.999999999998,3
22,783449,4057188,Private room,1,49,59,247.79999999999998,12142.199999999999,4
23,793746,4181425,Entire home/apt,1,70,61,256.0,17920.0,4
24,801440,4181425,Entire home/apt,1,75,71,256.0,19200.0,4
25,806933,4247258,Entire home/apt,2,104,24,100.8,10483.199999999999,4
26,807733,4250048,Private room,1,55,53,222.6,12243.0,2
27,845788,4310833,Entire home/apt,1,200,11,46.199999999999996,9240.0,2
28,856891,1924713,Entire home/apt,3+,300,25,105.0,31500.0,2
29,865244,4543023,Entire home/apt,1,59,19,79.8,4708.2,3
30,867488,4561878,Entire home/apt,3+,280,26,109.19999999999999,30575.999999999996,2
31,872870,4561878,Entire home/apt,3+,350,23,96.6,33810.0,2
32,872948,4561878,Entire home/apt,2,76,11,46.199999999999996,3511.2,2
33,872979,4561878,Entire home/apt,1,80,9,37.8,3024.0,2
34,939481,2468244,Private room,1,50,25,105.0,5250.0,5
35,943643,5105947,Entire home/apt,3+,79,17,71.39999999999999,5640.599999999999,4
36,945340,2280426,Entire home/apt,Studio,25,17,71.39999999999999,1784.9999999999998,2
37,1007407,5541484,Entire home/apt,3+,170,25,105.0,17850.0,1
38,1025361,5113450,Private room,1,38,51,214.2,8139.599999999999,2
39,1027726,4245884,Entire home/apt,1,49,7,29.4,1440.6,5
40,1086736,3973708,Entire home/apt,3+,280,42,176.39999999999998,49391.99999999999,3
41,1109000,6088135,Entire home/apt,3+,220,7,29.4,6468.0,4
42,1116630,6128626,Entire home/apt,2,120,23,96.6,11592.0,2
43,1117474,6133211,Entire home/apt,2,110,48,201.6,22176.0,1
44,1161946,6364913,Private room,1,24,7,29.4,705.5999999999999,6
45,1165770,6384904,Entire home/apt,3+,299,14,58.8,17581.2,2
46,1172803,1029070,Entire home/apt,Studio,43,102,256.0,11008.0,2
47,1185900,6486165,Entire home/apt,1,84,14,58.8,4939.2,2
48,1188231,1029070,Entire home/apt,2,66,87,256.0,16896.0,2
49,1203069,6571433,Entire home/apt,2,95,77,256.0,24320.0,1
50,1211924,6616722,Entire home/apt,3+,150,23,96.6,14490.0,1
51,1241376,1029070,Entire home/apt,1,48,94,256.0,12288.0,2
52,1242294,5563943,Entire home/apt,1,70,110,256.0,17920.0,1
53,1258486,6854230,Private room,1,42,37,155.39999999999998,6526.799999999999,1
54,1274080,6935270,Entire home/apt,1,90,80,256.0,23040.0,2
55,1308250,7107427,Private room,1,21,12,50.4,1058.3999999999999,6
56,1330588,7107427,Private room,1,20,10,42.0,840.0,6
57,1387018,3897750,Entire home/apt,Studio,30,16,67.19999999999999,2015.9999999999995,3
58,1440894,29102137,Entire home/apt,1,125,7,29.4,3675.0,2
59,1443453,7750472,Private room,1,28,15,62.99999999999999,1763.9999999999998,6
60,1499802,1029070,Entire home/apt,1,55,79,256.0,14080.0,2
61,1509955,8064781,Entire home/apt,1,55,7,29.4,1617.0,1
62,1605871,8555286,Entire home/apt,1,37,31,130.2,4817.4,3
63,1612990,8586420,Private room,1,69,21,88.19999999999999,6085.799999999999,3
64,1652831,4538479,Entire home/apt,1,96,18,75.6,7257.599999999999,3
65,1672218,8852292,Private room,1,55,9,37.8,2079.0,2
66,1842045,6854230,Private room,1,43,24,100.8,4334.4,1
67,1926172,1029070,Entire home/apt,Studio,48,73,256.0,12288.0,2
68,1997144,10291316,Entire home/apt,1,65,37,155.39999999999998,10100.999999999998,2
69,2029668,10423832,Entire home/apt,2,90,13,54.599999999999994,4913.999999999999,5
70,2111744,4822238,Entire home/apt,1,68,17,71.39999999999999,4855.2,1
71,2118428,10798726,Entire home/apt,3+,280,16,67.19999999999999,18815.999999999996,3
72,2133988,10888994,Entire home/apt,1,120,9,37.8,4536.0,1
73,2144094,10943963,Entire home/apt,1,76,31,130.2,9895.199999999999,1
74,2157691,4178213,Private room,1,99,46,193.2,19126.8,3
75,2184032,11138696,Entire home/apt,2,70,45,189.0,13230.0,3
76,2225756,7721469,Entire home/apt,3+,250,30,125.99999999999999,31499.999999999996,1
77,2231377,9477089,Private room,1,50,29,121.8,6090.0,3
78,2248994,4057188,Private room,1,55,87,256.0,14080.0,4
79,2273201,11605863,Entire home/apt,Studio,35,11,46.199999999999996,1616.9999999999998,2
80,2285698,11138696,Entire home/apt,2,62,12,50.4,3124.7999999999997,3
81,2384060,7896753,Private room,1,40,15,62.99999999999999,2519.9999999999995,5
82,2402008,9116145,Private room,1,25,41,172.2,4305.0,3
83,2517422,12888245,Entire home/apt,3+,200,18,75.6,15119.999999999998,1
84,2519743,3170753,Entire home/apt,1,80,8,33.599999999999994,2687.9999999999995,1
85,2522837,12917011,Entire home/apt,1,89,63,256.0,22784.0,1
86,2525201,12929499,Entire home/apt,1,65,15,62.99999999999999,4094.9999999999995,2
87,2530568,12540790,Entire home/apt,1,59,9,37.8,2230.2,5
