,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone,latitude,longitude,geometry
0,317273,1156398,Entire home/apt,1,155,7,42,6510,1,44.84734,-0.58034,POINT (-0.58034 44.84734)
1,317658,1156398,Entire home/apt,2,195,18,108,21060,1,44.83815,-0.56989,POINT (-0.56989 44.83815)
2,333031,1697156,Entire home/apt,Studio,79,32,192,15168,1,44.84267,-0.5765600000000001,POINT (-0.5765600000000001 44.84267)
3,365993,1847986,Entire home/apt,2,85,9,54,4590,5,44.812670000000004,-0.55762,POINT (-0.55762 44.81267)
4,400306,1998044,Entire home/apt,1,60,8,48,2880,3,44.8439,-0.5583100000000001,POINT (-0.5583100000000001 44.8439)
5,403245,2011519,Entire home/apt,1,59,27,162,9558,3,44.83385,-0.57033,POINT (-0.57033 44.83385)
6,408270,1127981,Entire home/apt,1,85,22,132,11220,5,44.81412,-0.5464100000000001,POINT (-0.5464100000000001 44.81412)
7,412475,1127981,Entire home/apt,1,85,12,72,6120,5,44.81428,-0.54875,POINT (-0.54875 44.81428)
8,437127,2171100,Private room,1,45,18,108,4860,2,44.856359999999995,-0.58518,POINT (-0.58518 44.85636)
9,438600,2171100,Private room,1,30,31,186,5580,2,44.85575,-0.5824,POINT (-0.5824 44.85575)
10,457640,2274580,Entire home/apt,2,80,14,84,6720,1,44.80907,-0.60034,POINT (-0.60034 44.80907)
11,458580,2280426,Entire home/apt,1,35,19,114,3990,3,44.83424,-0.57022,POINT (-0.5702199999999999 44.83424)
12,482102,2387430,Entire home/apt,3+,185,58,256,47360,4,44.854459999999996,-0.5956199999999999,POINT (-0.5956199999999999 44.85446)
13,500193,2468244,Entire home/apt,2,100,19,114,11400,4,44.831179999999996,-0.5628,POINT (-0.5628 44.83118)
14,545440,2680968,Entire home/apt,2,200,8,48,9600,4,44.85657,-0.57796,POINT (-0.57796 44.85657)
15,582745,2870240,Entire home/apt,3+,150,17,102,15300,4,44.864290000000004,-0.60536,POINT (-0.60536 44.86429)
16,599263,2964570,Entire home/apt,2,130,18,108,14040,1,44.83828,-0.5762,POINT (-0.5762 44.83828)
17,667763,3378979,Entire home/apt,1,99,20,120,11880,2,44.83703,-0.56795,POINT (-0.56795 44.83703)
18,717608,1229567,Entire home/apt,3+,139,8,48,6672,1,44.84173,-0.54901,POINT (-0.54901 44.84173)
19,724856,3746923,Private room,1,45,19,114,5130,3,44.832770000000004,-0.5976199999999999,POINT (-0.5976199999999999 44.83277)
20,740537,3875106,Private room,1,85,27,162,13770,5,44.8543,-0.57904,POINT (-0.57904 44.8543)
21,779477,4085017,Entire home/apt,3+,65,49,256,16640,3,44.84717,-0.58941,POINT (-0.58941 44.84717)
22,783449,4057188,Private room,1,49,59,256,12544,4,44.8296,-0.5993,POINT (-0.5993000000000001 44.8296)
23,793746,4181425,Entire home/apt,1,70,61,256,17920,4,44.82762,-0.57117,POINT (-0.57117 44.82762)
24,801440,4181425,Entire home/apt,1,75,71,256,19200,4,44.82946,-0.5725100000000001,POINT (-0.5725100000000001 44.82946)
25,806933,4247258,Entire home/apt,2,104,24,144,14976,4,44.86103,-0.5656100000000001,POINT (-0.5656100000000001 44.86103)
26,807733,4250048,Private room,1,55,53,256,14080,2,44.838640000000005,-0.56383,POINT (-0.5638300000000001 44.83864000000001)
27,845788,4310833,Entire home/apt,1,200,11,66,13200,2,44.83644,-0.57453,POINT (-0.57453 44.83644)
28,856891,1924713,Entire home/apt,3+,300,25,150,45000,2,44.85952,-0.61226,POINT (-0.61226 44.85952)
29,865244,4543023,Entire home/apt,1,59,19,114,6726,3,44.82765,-0.6189600000000001,POINT (-0.6189600000000001 44.82765)
30,867488,4561878,Entire home/apt,3+,280,26,156,43680,2,44.8324,-0.57431,POINT (-0.57431 44.8324)
31,872870,4561878,Entire home/apt,3+,350,23,138,48300,2,44.8335,-0.57406,POINT (-0.57406 44.8335)
32,872948,4561878,Entire home/apt,2,76,11,66,5016,2,44.831959999999995,-0.5756,POINT (-0.5756 44.83196)
33,872979,4561878,Entire home/apt,1,80,9,54,4320,2,44.833870000000005,-0.5753,POINT (-0.5753 44.83387)
34,939481,2468244,Private room,1,50,25,150,7500,5,44.83247,-0.56343,POINT (-0.56343 44.83247)
35,943643,5105947,Entire home/apt,3+,79,17,102,8058,4,44.86333,-0.6185,POINT (-0.6185 44.86333)
36,945340,2280426,Entire home/apt,Studio,25,17,102,2550,2,44.83717,-0.56826,POINT (-0.56826 44.83717)
37,1007407,5541484,Entire home/apt,3+,170,25,150,25500,1,44.84067,-0.5716100000000001,POINT (-0.5716100000000001 44.84067)
38,1025361,5113450,Private room,1,38,51,256,9728,2,44.83605,-0.6232800000000001,POINT (-0.6232800000000001 44.83605)
39,1027726,4245884,Entire home/apt,1,49,7,42,2058,5,44.88961,-0.64265,POINT (-0.6426500000000001 44.88961)
40,1086736,3973708,Entire home/apt,3+,280,42,252,70560,3,44.83043,-0.58223,POINT (-0.58223 44.83043)
41,1109000,6088135,Entire home/apt,3+,220,7,42,9240,4,44.86135,-0.59313,POINT (-0.59313 44.86135)
42,1116630,6128626,Entire home/apt,2,120,23,138,16560,2,44.83699,-0.56892,POINT (-0.56892 44.83699)
43,1117474,6133211,Entire home/apt,2,110,48,256,28160,1,44.83883,-0.56886,POINT (-0.56886 44.83883)
44,1161946,6364913,Private room,1,24,7,42,1008,6,44.88214,-0.49716000000000005,POINT (-0.49716 44.88214)
45,1165770,6384904,Entire home/apt,3+,299,14,84,25116,2,44.85507,-0.58186,POINT (-0.58186 44.85507)
46,1172803,1029070,Entire home/apt,Studio,43,102,256,11008,2,44.83402,-0.5745,POINT (-0.5745 44.83402)
47,1185900,6486165,Entire home/apt,1,84,14,84,7056,2,44.85516,-0.58596,POINT (-0.58596 44.85516)
48,1188231,1029070,Entire home/apt,2,66,87,256,16896,2,44.83312,-0.57385,POINT (-0.57385 44.83312)
49,1203069,6571433,Entire home/apt,2,95,77,256,24320,1,44.83831,-0.57555,POINT (-0.57555 44.83831)
50,1211924,6616722,Entire home/apt,3+,150,23,138,20700,1,44.84786,-0.59367,POINT (-0.59367 44.84786)
51,1241376,1029070,Entire home/apt,1,48,94,256,12288,2,44.83377,-0.57468,POINT (-0.57468 44.83377)
52,1242294,5563943,Entire home/apt,1,70,110,256,17920,1,44.84064,-0.57645,POINT (-0.57645 44.84064)
53,1258486,6854230,Private room,1,42,37,222,9324,1,44.82278,-0.5895600000000001,POINT (-0.5895600000000001 44.82278)
54,1274080,6935270,Entire home/apt,1,90,80,256,23040,2,44.837109999999996,-0.5702,POINT (-0.5702 44.83711)
55,1308250,7107427,Private room,1,21,12,72,1512,6,44.87696,-0.53346,POINT (-0.53346 44.87696)
56,1330588,7107427,Private room,1,20,10,60,1200,6,44.877140000000004,-0.53518,POINT (-0.53518 44.87714)
57,1387018,3897750,Entire home/apt,Studio,30,16,96,2880,3,44.831340000000004,-0.57001,POINT (-0.57001 44.83134)
58,1440894,29102137,Entire home/apt,1,125,7,42,5250,2,44.83715,-0.56797,POINT (-0.56797 44.83715)
59,1443453,7750472,Private room,1,28,15,90,2520,6,44.84616,-0.6581600000000001,POINT (-0.6581600000000001 44.84616)
60,1499802,1029070,Entire home/apt,1,55,79,256,14080,2,44.83429,-0.5746100000000001,POINT (-0.5746100000000001 44.83429)
61,1509955,8064781,Entire home/apt,1,55,7,42,2310,1,44.84319,-0.57071,POINT (-0.5707100000000001 44.84319)
62,1605871,8555286,Entire home/apt,1,37,31,186,6882,3,44.821999999999996,-0.60042,POINT (-0.60042 44.822)
63,1612990,8586420,Private room,1,69,21,126,8694,3,44.84707,-0.58877,POINT (-0.58877 44.84707)
64,1652831,4538479,Entire home/apt,1,96,18,108,10368,3,44.83056,-0.5743,POINT (-0.5743 44.83056)
65,1672218,8852292,Private room,1,55,9,54,2970,2,44.82423,-0.56142,POINT (-0.56142 44.82423)
66,1800344,3070456,Entire home/apt,3+,500,12,72,36000,2,44.85562,-0.6055699999999999,POINT (-0.6055699999999999 44.85562)
67,1842045,6854230,Private room,1,43,24,144,6192,1,44.823209999999996,-0.59128,POINT (-0.59128 44.82321)
68,1926172,1029070,Entire home/apt,Studio,48,73,256,12288,2,44.83365,-0.5744,POINT (-0.5744 44.83365)
