,Zone,Rent,Area,Yearly rent,Number of bedrooms
0,1,564.0,56.0,6768.0,1
1,1,700.0,61.0,8400.0,1
2,1,1080.0,113.0,12960.0,3+
3,1,1131.0,127.0,13572.0,3+
4,1,420.0,27.0,5040.0,Studio
5,1,550.0,45.0,6600.0,1
6,1,740.0,70.0,8880.0,2
7,1,1036.0,104.0,12432.0,3+
8,1,420.0,27.0,5040.0,Studio
9,1,550.0,45.0,6600.0,1
10,1,741.0,69.0,8892.0,2
11,1,700.0,61.0,8400.0,1
12,1,1080.0,113.0,12960.0,3+
13,1,1131.0,127.0,13572.0,3+
14,1,420.0,27.0,5040.0,Studio
15,1,550.0,45.0,6600.0,1
16,1,740.0,70.0,8880.0,2
17,1,1036.0,104.0,12432.0,3+
18,1,420.0,27.0,5040.0,Studio
19,1,550.0,45.0,6600.0,1
20,1,741.0,69.0,8892.0,2
21,1,560.0,50.0,6720.0,1
22,1,1143.0,114.0,13716.0,3+
23,1,427.0,26.0,5124.0,Studio
24,1,565.0,44.0,6780.0,1
25,1,779.0,69.0,9348.0,2
26,1,565.0,59.0,6780.0,1
27,1,1080.0,112.0,12960.0,3+
28,1,401.0,28.0,4812.0,Studio
29,1,540.0,46.0,6480.0,1
30,1,739.0,69.0,8868.0,2
31,1,560.0,50.0,6720.0,1
32,1,1143.0,114.0,13716.0,3+
33,1,427.0,26.0,5124.0,Studio
34,1,566.0,44.0,6792.0,1
35,1,768.0,69.0,9216.0,2
36,1,427.0,26.0,5124.0,Studio
37,1,565.0,44.0,6780.0,1
38,1,779.0,69.0,9348.0,2
39,1,565.0,59.0,6780.0,1
40,1,1080.0,112.0,12960.0,3+
41,1,1124.0,127.0,13488.0,3+
42,1,401.0,28.0,4812.0,Studio
43,1,540.0,46.0,6480.0,1
44,1,740.0,71.0,8880.0,2
45,1,1036.0,105.0,12432.0,3+
46,1,401.0,28.0,4812.0,Studio
47,1,540.0,46.0,6480.0,1
48,1,739.0,69.0,8868.0,2
49,1,600.0,59.0,7200.0,1
50,1,1171.0,120.0,14052.0,3+
51,1,432.0,27.0,5184.0,Studio
52,1,561.0,46.0,6732.0,1
53,1,753.0,69.0,9036.0,2
54,1,610.0,52.0,7320.0,1
55,1,614.0,44.0,7368.0,1
56,1,780.0,69.0,9360.0,2
57,1,600.0,63.0,7200.0,1
58,1,536.0,47.0,6432.0,1
59,1,753.0,72.0,9036.0,2
60,1,585.0,58.0,7020.0,1
61,1,640.0,67.0,7680.0,2
62,1,500.0,47.0,6000.0,1
63,1,409.0,28.0,4908.0,Studio
64,1,540.0,45.0,6480.0,1
65,1,470.0,41.0,5640.0,1
66,1,512.0,49.0,6144.0,1
67,1,554.0,52.0,6648.0,1
68,1,540.0,45.0,6480.0,1
69,1,551.0,49.0,6612.0,1
70,1,554.0,54.0,6648.0,1
71,1,545.0,45.0,6540.0,1
72,1,662.0,63.0,7944.0,1
73,1,550.0,45.0,6600.0,1
74,1,757.0,69.0,9084.0,2
75,1,600.0,60.0,7200.0,1
76,1,550.0,45.0,6600.0,1
77,1,744.0,67.0,8928.0,2
78,1,600.0,59.0,7200.0,1
79,1,1171.0,120.0,14052.0,3+
80,1,1131.0,130.0,13572.0,3+
81,1,432.0,27.0,5184.0,Studio
82,1,561.0,46.0,6732.0,1
83,1,780.0,71.0,9360.0,2
84,1,432.0,27.0,5184.0,Studio
85,1,561.0,46.0,6732.0,1
86,1,753.0,69.0,9036.0,2
87,1,610.0,52.0,7320.0,1
88,1,600.0,63.0,7200.0,1
89,1,585.0,58.0,7020.0,1
90,1,640.0,67.0,7680.0,2
91,1,500.0,47.0,6000.0,1
92,1,409.0,28.0,4908.0,Studio
93,1,540.0,45.0,6480.0,1
94,1,409.0,28.0,4908.0,Studio
95,1,540.0,45.0,6480.0,1
96,1,470.0,41.0,5640.0,1
97,1,512.0,49.0,6144.0,1
98,1,554.0,52.0,6648.0,1
99,1,540.0,45.0,6480.0,1
100,1,540.0,45.0,6480.0,1
